"id","username","name","follower_count","following_count","score","is_premium","is_pro"
"2709","TheVikingWolfe","Erik Wolfe","891","134","195","False","False"
"2089","ik","ikka","1107","141","404","False","False"
"2476","therealdonaldtrump","Donald Trump","1487","50","233","False","False"
"2363","MATCH","HillaryIsAMurderer","1079","175","100","False","False"
"1871","SuperController","SuperController","690","73","61","False","False"
"1920","AmishMasterJedi","👽A-A-Ron👽","2281","1621","687","False","False"
"813","Edmund","Edmund","1053","19","3","False","False"
"2618","wes","wes","801","161","1","False","False"
"2713","Michellejoz"," Michelle ✅","4608","2775","15052","False","False"
"1516","Pochemuchka","David Maga ","1011","151","181","False","False"
"2260","TheJoseph","Joe Lotz","788","95","184","False","False"
"2424","musicalmac","Russell 🇺🇸","953","121","1468","False","False"
"695","Fus_Ro_Dakka","Jim","723","15","27","False","False"
"811","hounderous","Frank Lacava","1406","164","588","False","True"
"3866","JenJen","Mama Bear Jones","1844","1820","200","False","False"
"7420","redpill","Sean Foley","3799","3590","5063","False","True"
"3164","trav","Travis","1550","1419","210","False","False"
"7233","Person","elsupermachonacho","1301","971","294","False","False"
"837","stillgray","Ian Miles Cheong","3575","21","2195","False","False"
"2308","Cobaron","Andrew Gallegos","2351","764","1714","False","False"
"760","RyanV","Ryan VanWert ","605","5","273","False","False"
"729","cristian","Cristian","1368","21","0","False","False"
"5840","Blonde","Gentlemen Prefer Conservatives","2009","1224","405","False","False"
"2185","geronimocobain","Geronimo Cobain","580","27","5","False","False"
"2526","Garfunkie","Phillip Delfina","361","76","130","False","False"
"846","doctoroakin","Dr.Oakin","767","165","29","False","False"
"1007","darryl","Darryl Thompson","376","11","0","False","False"
"2106","ComradeStump","Can't Stump the Trump","5180","45","797","False","False"
"2387","From-Bad-Dudes","Blade","492","16","0","False","False"
"2668","Daisy","Women4Trump","1163","55","17","False","False"
"2195","konrad","Konrad","546","25","34","False","False"
"3413","CJLango","Connor Lango","570","101","103","False","False"
"3288","ebm242","Chris","1272","225","1113","False","False"
"4850","Anonmatronic","Anonmatronic","578","133","67","False","False"
"5099","Voidraithe","Voidraithe","367","241","8","False","False"
"1084","zg","Ze German","520","22","18","False","False"
"1139","Smokebear","DL","751","60","77","False","False"
"1299","PetaKeks","1600 MAGA Avenue","1305","179","2040","False","False"
"1527","Hamulons_Fist","Zlex","309","4","2","False","False"
"1910","DrDirty","Goysexual","147","7","4","False","False"
"6207","WRM","Sir Montague ","1394","487","610","False","False"
"5402","itsonlywords","Paula","3099","2616","3026","False","False"
"7801","Atkins","Daniel Atkins","978","648","108","False","False"
"901","Elfherself","Elf","368","6","35","False","False"
"3746","AzoicDesigns","Azoic Designs","1990","1788","218","False","False"
"8378","Spectrum","Spectrum","1860","600","690","False","False"
"4790","ShadowSalute","ShadowSalute","1256","385","260","False","False"
"1393","MatthewRodine","Matthew Rodine","395","8","0","False","False"
"2913","VickyCaramel","Vicky Caramel","513","38","20","False","False"
"1058","Eric","Eric","604","52","406","False","False"
"2730","Jeffersonranch","Glr","2015","2032","479","False","False"
"2208","Gigadwarf","Gigadwarf","428","23","4","False","False"
"3108","Futhington","Paul Johnson","1512","319","1701","False","False"
"2770","dietrologia","dietrologia","1769","434","1206","False","False"
"1167","deleted123456","Deleted","1108","215","252","False","False"
"1611","SomeGuy","Some Guy","4501","1800","22718","False","False"
"1219","JohnnyFive","JohnnyFive","1298","245","143","False","False"
"1730","candice","Candice","123","4","0","False","False"
"2030","AbsolutelyHarambe","AbsolutelyHarambe","628","77","118","False","False"
"2344","Cwb","Michael Winton","946","175","3464","False","False"
"2342","Ryona","Ryona","321","21","26","False","False"
"1189","Chelle","Taco Chelle","902","55","13","False","False"
"617","Admin","Admin","589","4","32","False","False"
"5338","RedOctober","Red October","767","72","314","False","False"
"1244","brittany","Brittany Dalton","707","67","261","False","False"
"4297","Backwards","Zack","1359","1134","29","False","False"
"4931","maximumleader","The Maximum Leader","1504","549","939","False","False"
"4533","Bobonics","Bobo","1580","601","2529","False","False"
"787","Random","Nobody","876","24","-1","False","False"
"840","HopeReeder","Hope Reeder","1576","888","43","False","False"
"967","SeanMoran","Sean Moran","1366","251","1317","False","False"
"804","micaiahbrowning","Micaiah Browning","975","5","10","False","False"
"805","877","John","1223","114","30","False","False"
"2389","sunkast","Sunkast","122","4","0","False","False"
"2205","MAGAKerry42069","Kerry","898","159","80","False","False"
"2507","MikeOverTheHill","Michael Migliore","463","37","171","False","False"
"841","watt","Mike ","725","22","22","False","False"
"4754","nutbunny","nutbunny","1366","1311","374","False","False"
"13075","klanism","gab ✔️","321","152","0","False","False"
"14498","Rhino36","Igives Adamny","1121","906","14","False","False"
"19742","Faisal7","Faisal","3001","3959","761","False","False"
"4094","Breeze_CA","Breezy 🇨🇦","2391","2093","150","False","False"
"1510","argus","argus","495","18","55","False","False"
"1562","ben","Ben Reynolds","481","15","9","False","False"
"1063","Lesdoggg","Actually Deplorable Leslie Jones","1004","192","230","False","False"
"922","C_Dillard","Chase Dillard","627","19","10","False","False"
"2090","aux","MakeCalifornia GreatAgain","3175","1694","2058","False","False"
"1432","OfficerNasty","OfficerNasty","409","16","144","False","False"
"2999","Vaetrasz","Vaetrasz","443","18","0","False","False"
"3304","G-Rock","G-Rock","803","96","287","False","False"
"1539","Harry_Barry","High priest of HARAMBE","463","118","56","False","False"
"2875","FreeAtLast","FreeAtLast","6125","6613","27223","False","False"
"1917","SDK","Shane ","511","14","45","False","True"
"1726","kanagawa","kanagawa","897","182","1220","False","False"
"763","mikephillips","Mike Phillips","177","22","14","False","False"
"873","AmericanEmperium","Emperium","942","90","282","False","False"
"962","moissien","Yuya ","541","49","23","False","False"
"1030","dmmcglynn","dmmcglynn","447","96","9","False","False"
"1141","oliver","Oliver Garcia","679","161","60","False","False"
"1106","BrineRend","Brine","492","27","214","False","False"
"2292","reddkard","Terry Schenck","411","26","0","False","False"
"1214","dxfcgvhbjnkioju87t6gyhjkl","idk","592","45","0","False","False"
"12689","next","Justin Scott","1625","1361","611","False","False"
"1318","GiveawayResource","Mike Rutledge","1122","795","205","False","False"
"9836","sighanidepill","Sighanide Pill","866","804","281","False","False"
"14196","GoomGoongala","Goom Goongala","2915","2411","2060","False","True"
"16737","MY","Mr. Yates","3536","5835","2118","False","False"
"29714","nicholas-ramsey","Nicholas Ramsey","11149","43596","448","False","False"
"16732","Facts","Üseless Facts","5431","8568","7308","False","False"
"42104","Bill_Clinton","Bill Clinton","15830","52658","2094","False","False"
"23320","welcome","@Welcome to @Gab! 🐸👋","13828","51024","401","False","False"
"26313","South","John Nelligan","3218","4987","847","False","False"
"32715","WorldVoices","JonJee","7842","14629","9450","False","False"
"34718","joeherren","Joe Herren","7218","16135","2525","False","False"
"84940","AnonymousRadical","Monicas Cigars","3185","4576","297","False","False"
"80793","creative","Lisa Turner","8968","29484","485","False","False"
"18428","BH","Brad H✔️","8622","17512","73","False","False"
"108889","ThomasDuder","Thomas Duder, Author of the Things ","12033","30069","2871","False","False"
"98897","trsfounder","Christopher Kemmett","7709","21065","329","False","False"
"120347","osamabinladen","Osama Bin Laden","813","1473","36","False","False"
"106460","FoxSpirit","The Fox Spirit","9799","25071","158","False","False"
"123509","luckee","Patsy","3210","5898","441","False","False"
"2599","wut","Deplorable James Russels","797","73","284","False","False"
"2450","gm","gm","1007","88","0","False","False"
"2437","ontore","Oliver P Hoffmann","1900","1377","3031","False","False"
"2880","henry_in_Texas","#NSFW Henry Pongratz","8181","13230","107624","False","False"
"1925","Ahnun","Ahnun","923","121","290","False","False"
"2717","VexxedMedia","Dialectic","1669","1169","664","False","False"
"3163","CastleRockKenny","Kenny","686","134","108","False","False"
"2073","Elk","Adam","1885","1226","288","False","False"
"3121","Wikus","Wikus Roux","412","30","31","False","False"
"1181","KillAnderson","Radicle","1062","163","349","False","False"
"3201","Mom","Nissalee","344","34","33","False","False"
"3428","Vek","Sir Carl Cox, Sr.","541","44","21","False","False"
"3435","dead","spookyposter","501","48","110","False","False"
"3516","WhiteWalker","Noah","240","5","0","False","False"
"2281","joannesromanus","joannesromanus ✝","910","348","88","False","False"
"2264","murray","Murray Love","695","219","18","False","False"
"2441","IdontCare","IdontCare","1462","645","366","False","False"
"1391","Andrew_Johnson","Andrew Johnson","264","7","7","False","False"
"3301","All4ALaugh","Deplorable Tom","2068","548","2167","False","False"
"5751","Wroe","Cliff","401","105","0","False","False"
"3701","Gardenrabbit356","Dylan Jones","881","175","106","False","False"
"6135","ShreddedCheddar","ShreddedCheddar","978","285","602","False","False"
"2051","LADYLIBERTYGUY","Conner","1017","232","1","False","False"
"5711","aj","AJ ","1472","1164","160","False","False"
"4281","negativepie","negativepie","502","49","144","False","False"
"812","Faggotron","Israel Garcia","522","61","40","False","False"
"4921","ajduncan","Andy Duncan","446","196","17","False","False"
"926","gibbs","Gibbs","1260","245","0","False","False"
"1201","YJewelle","Yvonne Marie Roga","1595","1657","987","False","False"
"1039","Michael_","Deplorable Michael","1613","587","1044","False","False"
"4341","RandellGary","Randell Gary","3644","2291","14578","False","False"
"5161","jamie66HG","HudsonC","289","19","48","False","False"
"1422","whitemalestrom","Donald Milo Farage","642","14","285","False","False"
"3146","mwill","michael williams","10501","16433","54365","False","True"
"1735","DontTreadOnMe","Joe✓ᵀʳᵘᵐᵖᶦᶠᶦᵉᵈ","2394","1286","1392","False","False"
"2710","Roberto","Roberto Garcia","3000","1000","7155","False","True"
"3070","dec","dec","492","16","63","False","False"
